Kategorie: Alle Kategorien

Woche,Playstation 5: (Deutschland),Microsoft Xbox Series X: (Deutschland),Nintendo Switch: (Deutschland)
2022-04-24,19,0,33
2022-05-01,14,0,30
2022-05-08,15,0,24
2022-05-15,16,0,21
2022-05-22,14,0,26
2022-05-29,14,0,29
2022-06-05,16,0,27
2022-06-12,13,0,22
2022-06-19,13,0,22
2022-06-26,15,0,25
2022-07-03,13,0,26
2022-07-10,14,0,28
2022-07-17,14,0,23
2022-07-24,15,0,26
2022-07-31,14,0,28
2022-08-07,14,0,28
2022-08-14,14,0,28
2022-08-21,16,0,27
2022-08-28,17,0,26
2022-09-04,15,0,27
2022-09-11,19,0,30
2022-09-18,19,0,29
2022-09-25,24,0,33
2022-10-02,22,0,36
2022-10-09,22,0,32
2022-10-16,19,0,34
2022-10-23,22,0,34
2022-10-30,25,0,42
2022-11-06,27,0,43
2022-11-13,28,0,60
2022-11-20,33,0,95
2022-11-27,26,0,62
2022-12-04,20,0,59
2022-12-11,19,0,56
2022-12-18,20,0,62
2022-12-25,21,0,100
2023-01-01,19,0,60
2023-01-08,15,0,42
2023-01-15,16,0,37
2023-01-22,14,0,35
2023-01-29,15,0,35
2023-02-05,17,0,38
2023-02-12,17,0,36
2023-02-19,19,0,35
2023-02-26,18,0,33
2023-03-05,16,0,31
2023-03-12,15,0,28
2023-03-19,14,0,27
2023-03-26,14,0,34
2023-04-02,14,0,38
2023-04-09,12,0,38
2023-04-16,11,0,29
2023-04-23,10,0,27
2023-04-30,10,0,29
2023-05-07,9,0,29
2023-05-14,9,0,32
2023-05-21,9,0,23
2023-05-28,9,0,23
2023-06-04,9,0,23
2023-06-11,8,0,20
2023-06-18,9,0,23
2023-06-25,10,1,24
2023-07-02,10,0,24
2023-07-09,10,0,23
2023-07-16,8,0,24
2023-07-23,13,0,29
2023-07-30,13,0,31
2023-08-06,12,<1,28
2023-08-13,10,<1,24
2023-08-20,11,<1,23
2023-08-27,12,2,26
2023-09-03,11,3,23
2023-09-10,12,2,23
2023-09-17,14,1,22
2023-09-24,14,3,22
2023-10-01,15,3,27
2023-10-08,15,3,27
2023-10-15,13,2,27
2023-10-22,16,<1,36
2023-10-29,15,1,42
2023-11-05,17,2,42
2023-11-12,31,4,58
2023-11-19,42,9,77
2023-11-26,29,3,51
2023-12-03,27,1,52
2023-12-10,24,5,55
2023-12-17,20,7,49
2023-12-24,30,11,92
2023-12-31,18,7,52
2024-01-07,16,6,36
2024-01-14,13,6,31
2024-01-21,12,6,29
2024-01-28,11,5,25
2024-02-04,11,4,25
2024-02-11,12,4,26
2024-02-18,12,5,23
2024-02-25,10,4,23
2024-03-03,10,4,23
2024-03-10,10,5,22
2024-03-17,10,4,22
2024-03-24,11,5,32
2024-03-31,10,5,36
2024-04-07,8,4,19
2024-04-14,9,4,20
2024-04-21,9,4,20
2024-04-28,8,4,19
2024-05-05,7,3,20
2024-05-12,7,4,19
2024-05-19,9,5,19
2024-05-26,9,4,21
2024-06-02,9,4,18
2024-06-09,9,6,18
2024-06-16,7,4,20
2024-06-23,7,4,16
2024-06-30,8,4,20
2024-07-07,7,4,21
2024-07-14,9,4,21
2024-07-21,9,4,21
2024-07-28,10,3,22
2024-08-04,9,4,21
2024-08-11,10,4,16
2024-08-18,10,6,23
2024-08-25,11,6,21
2024-09-01,11,5,21
2024-09-08,18,6,20
2024-09-15,15,6,22
2024-09-22,22,5,22
2024-09-29,17,5,25
